at,total,in_stock,out_of_stock,bambu_in_stock,polymaker_in_stock
2026-07-05T16:57:37+00:00,566,464,102,231,233
2026-07-05T17:23:45+00:00,566,464,102,231,233
2026-07-05T19:40:08+00:00,566,463,103,230,233
2026-07-05T21:16:47+00:00,566,463,103,230,233
2026-07-05T23:15:01+00:00,566,463,103,230,233
2026-07-06T04:35:34+00:00,566,462,104,229,233
2026-07-06T09:08:23+00:00,566,462,104,229,233
2026-07-06T14:00:04+00:00,566,462,104,229,233
2026-07-06T17:13:32+00:00,566,462,104,229,233
2026-07-06T20:11:27+00:00,552,462,90,229,233
2026-07-06T22:24:01+00:00,552,462,90,229,233
2026-07-07T00:18:29+00:00,552,462,90,229,233
2026-07-07T05:04:26+00:00,552,462,90,229,233
2026-07-07T08:37:19+00:00,552,462,90,229,233
2026-07-07T12:08:06+00:00,552,462,90,229,233
2026-07-07T15:49:03+00:00,552,462,90,229,233
2026-07-07T18:15:37+00:00,552,462,90,229,233
2026-07-07T20:56:24+00:00,552,462,90,229,233
2026-07-07T22:20:54+00:00,552,462,90,229,233
2026-07-08T00:09:26+00:00,552,462,90,229,233
2026-07-08T04:27:35+00:00,552,462,90,229,233
2026-07-08T07:40:18+00:00,552,462,90,229,233
2026-07-08T10:29:48+00:00,552,463,89,230,233
2026-07-08T12:49:26+00:00,552,463,89,230,233
2026-07-08T15:31:16+00:00,552,463,89,230,233
2026-07-08T17:49:40+00:00,552,463,89,230,233
2026-07-08T19:51:05+00:00,552,466,86,233,233
2026-07-08T21:21:03+00:00,552,467,85,234,233
2026-07-08T23:21:36+00:00,552,467,85,234,233
2026-07-09T04:09:36+00:00,552,466,86,233,233
2026-07-09T08:39:03+00:00,552,466,86,233,233
2026-07-09T12:19:26+00:00,552,466,86,233,233
2026-07-09T16:08:24+00:00,552,465,87,232,233
2026-07-09T18:58:39+00:00,552,465,87,232,233
2026-07-09T20:55:24+00:00,552,466,86,233,233
2026-07-09T22:42:04+00:00,552,466,86,233,233
2026-07-10T00:16:13+00:00,552,465,87,233,232
2026-07-10T05:04:39+00:00,552,465,87,233,232
2026-07-10T08:37:03+00:00,552,465,87,233,232
2026-07-10T12:07:30+00:00,552,465,87,233,232
2026-07-10T14:50:44+00:00,552,465,87,233,232
2026-07-10T17:05:16+00:00,552,469,83,237,232
2026-07-10T18:43:36+00:00,552,471,81,239,232
2026-07-10T20:41:09+00:00,552,472,80,240,232
2026-07-10T22:14:05+00:00,566,471,95,239,232
2026-07-11T00:07:36+00:00,566,469,97,237,232
2026-07-11T03:41:32+00:00,566,468,98,236,232
2026-07-11T06:23:37+00:00,566,467,99,235,232
2026-07-11T08:57:01+00:00,566,467,99,235,232
2026-07-11T10:23:16+00:00,566,467,99,235,232
2026-07-11T12:01:24+00:00,566,467,99,235,232
2026-07-11T13:48:33+00:00,566,467,99,235,232
2026-07-11T15:10:46+00:00,566,465,101,233,232
2026-07-11T17:11:43+00:00,566,460,106,228,232
2026-07-11T19:21:55+00:00,566,458,108,226,232
2026-07-11T21:01:56+00:00,566,455,111,223,232
2026-07-11T22:02:53+00:00,566,452,114,221,231
2026-07-11T23:05:33+00:00,566,450,116,219,231
2026-07-12T00:08:47+00:00,566,449,117,218,231
2026-07-12T04:34:27+00:00,566,448,118,217,231
2026-07-12T07:36:23+00:00,566,448,118,217,231
2026-07-12T10:00:10+00:00,566,449,117,217,232
2026-07-12T11:22:26+00:00,566,449,117,217,232
2026-07-12T13:50:52+00:00,566,449,117,217,232
2026-07-12T15:10:53+00:00,566,446,120,214,232
2026-07-12T17:12:58+00:00,566,445,121,213,232
2026-07-12T19:20:29+00:00,566,440,126,208,232
2026-07-12T21:03:22+00:00,566,439,127,207,232
2026-07-12T22:04:40+00:00,566,440,126,208,232
2026-07-12T23:06:58+00:00,566,437,129,205,232
2026-07-13T00:09:30+00:00,566,436,130,204,232
2026-07-13T04:40:01+00:00,566,433,133,201,232
2026-07-13T08:26:59+00:00,566,432,134,200,232
2026-07-13T12:15:48+00:00,566,432,134,200,232
2026-07-13T15:49:18+00:00,566,432,134,200,232
2026-07-13T18:04:10+00:00,566,441,125,209,232
2026-07-13T19:45:24+00:00,566,442,124,210,232
2026-07-13T21:10:36+00:00,566,441,125,210,231
2026-07-13T23:09:07+00:00,566,440,126,210,230
2026-07-14T03:27:54+00:00,566,436,130,206,230
2026-07-14T06:21:40+00:00,566,435,131,205,230
2026-07-14T09:15:01+00:00,566,435,131,205,230
2026-07-14T11:42:13+00:00,566,435,131,205,230
2026-07-14T14:08:46+00:00,566,435,131,205,230
2026-07-14T16:35:54+00:00,563,436,127,206,230
2026-07-14T18:15:06+00:00,568,436,132,206,230
2026-07-14T20:20:15+00:00,568,435,133,206,229
2026-07-14T22:10:11+00:00,568,435,133,207,228
2026-07-15T00:02:28+00:00,568,434,134,206,228
2026-07-15T03:27:29+00:00,568,432,136,204,228
2026-07-15T06:25:19+00:00,568,432,136,204,228
2026-07-15T09:19:33+00:00,568,431,137,203,228
2026-07-15T11:45:54+00:00,554,431,123,203,228
2026-07-15T14:05:22+00:00,554,432,122,204,228
2026-07-15T15:47:13+00:00,554,438,116,210,228
2026-07-15T17:34:56+00:00,554,442,112,214,228
2026-07-15T19:33:56+00:00,554,443,111,217,226
2026-07-15T21:12:49+00:00,554,443,111,217,226
2026-07-15T23:09:50+00:00,554,442,112,216,226
2026-07-16T03:31:46+00:00,554,442,112,216,226
2026-07-16T06:28:43+00:00,554,442,112,216,226
2026-07-16T09:24:05+00:00,554,443,111,217,226
2026-07-16T11:51:33+00:00,554,443,111,217,226
2026-07-16T14:17:19+00:00,554,443,111,217,226
2026-07-16T16:38:14+00:00,554,447,107,221,226
2026-07-16T18:17:13+00:00,554,450,104,224,226
2026-07-16T20:09:27+00:00,554,450,104,224,226
2026-07-16T22:13:14+00:00,568,447,121,222,225
2026-07-17T00:09:59+00:00,568,448,120,224,224
2026-07-17T04:19:42+00:00,568,454,114,230,224
2026-07-17T07:27:30+00:00,568,454,114,230,224
2026-07-17T10:08:38+00:00,568,454,114,230,224
2026-07-17T12:19:10+00:00,568,454,114,230,224
2026-07-17T14:52:40+00:00,560,455,105,231,224
2026-07-17T16:24:05+00:00,560,459,101,235,224
2026-07-17T18:16:22+00:00,560,458,102,234,224
2026-07-17T20:13:18+00:00,560,459,101,235,224
2026-07-17T22:03:57+00:00,560,459,101,235,224
2026-07-17T23:05:07+00:00,560,459,101,235,224
2026-07-18T00:06:03+00:00,560,459,101,235,224
2026-07-18T03:28:56+00:00,560,459,101,235,224
2026-07-18T06:15:20+00:00,560,459,101,235,224
2026-07-18T08:57:05+00:00,560,459,101,235,224
2026-07-18T10:36:32+00:00,560,459,101,235,224
2026-07-18T12:01:35+00:00,560,459,101,235,224
2026-07-18T13:43:36+00:00,560,459,101,235,224
2026-07-18T15:09:31+00:00,560,459,101,235,224
2026-07-18T17:09:10+00:00,560,457,103,235,222
2026-07-18T19:20:31+00:00,560,459,101,237,222
2026-07-18T21:02:21+00:00,560,467,93,245,222
2026-07-18T22:02:33+00:00,560,469,91,247,222
2026-07-18T23:05:56+00:00,560,469,91,247,222
2026-07-19T00:07:33+00:00,560,468,92,246,222
2026-07-19T03:52:21+00:00,560,468,92,246,222
2026-07-19T06:40:57+00:00,560,468,92,246,222
2026-07-19T09:13:53+00:00,560,468,92,246,222
2026-07-19T11:19:50+00:00,560,468,92,246,222
2026-07-19T13:47:14+00:00,560,468,92,246,222
2026-07-19T15:10:25+00:00,560,468,92,246,222
2026-07-19T17:12:02+00:00,560,468,92,246,222
2026-07-19T19:21:45+00:00,560,468,92,246,222
2026-07-19T21:04:09+00:00,560,468,92,246,222
2026-07-19T22:06:26+00:00,560,468,92,246,222
2026-07-19T23:09:44+00:00,560,468,92,246,222
2026-07-20T03:58:22+00:00,560,468,92,246,222
2026-07-20T07:23:56+00:00,560,468,92,246,222
2026-07-20T11:10:33+00:00,560,468,92,246,222
2026-07-20T14:30:39+00:00,560,468,92,246,222
2026-07-20T16:41:46+00:00,560,468,92,246,222
2026-07-20T19:05:10+00:00,560,467,93,246,221
2026-07-20T20:39:03+00:00,560,467,93,246,221
2026-07-20T22:10:33+00:00,560,467,93,246,221
2026-07-21T00:06:43+00:00,560,467,93,246,221
2026-07-21T03:43:09+00:00,560,466,94,245,221
2026-07-21T06:38:30+00:00,560,466,94,245,221
2026-07-21T09:35:14+00:00,554,466,88,245,221
2026-07-21T11:58:03+00:00,554,466,88,245,221
2026-07-21T14:17:24+00:00,554,466,88,245,221
2026-07-21T16:39:03+00:00,560,470,90,249,221
2026-07-21T18:24:02+00:00,560,470,90,249,221
2026-07-21T20:23:28+00:00,560,471,89,250,221
2026-07-21T22:10:46+00:00,560,471,89,250,221
2026-07-22T00:02:33+00:00,560,471,89,250,221
2026-07-22T03:38:28+00:00,560,471,89,250,221
2026-07-22T06:39:59+00:00,560,471,89,250,221
2026-07-22T09:35:43+00:00,554,470,84,249,221
2026-07-22T12:00:43+00:00,554,470,84,249,221
2026-07-22T14:18:33+00:00,554,470,84,249,221
2026-07-22T16:40:55+00:00,554,472,82,251,221
2026-07-22T18:19:31+00:00,554,472,82,251,221
2026-07-22T20:19:14+00:00,554,472,82,251,221
2026-07-22T22:14:26+00:00,554,473,81,252,221
2026-07-23T00:11:17+00:00,554,473,81,252,221
2026-07-23T04:27:58+00:00,554,473,81,252,221
2026-07-23T07:43:21+00:00,554,473,81,252,221
